HOG	OG	Gene Tree Parent Clade	GCA_000005845.2	GCA_000025565.1	GCA_000742755.1
N0.HOG0002060	OG0001895	-	b2297 _pta_ phosphate acetyltransferase	ECL_03641 phosphate acetyltransferase	VK055_4827 _pta2_ phosphate acetyltransferase
N0.HOG0002061	OG0001896	-	b2298 _yfcC_ putative transporter YfcC	ECL_00668 C4-dicarboxylate anaerobic carrier	VK055_2802 C4-dicarboxylate anaerobic carrier family protein
N0.HOG0002062	OG0001897	-	b2299 _yfcD_ putative Nudix hydrolase YfcD	ECL_03648 NUDIX hydrolase	VK055_4826 putative Nudix hydrolase
N0.HOG0002063	OG0001898	-	b2300 _yfcE_ phosphodiesterase YfcE	ECL_03649 putative phosphodiesterase	VK055_4825 phosphodiesterase_ MJ0936 family protein
N0.HOG0002064	OG0001899	-	b2301 _yfcF_ glutathione S-transferase YfcF	ECL_03650 glutathione S-transferase domain-containing protein	VK055_4824 glutathione S-transferase_ N-terminal domain protein
N0.HOG0002065	OG0001900	-	b2302 _yfcG_ disulfide bond oxidoreductase YfcG	ECL_03651 glutathione S-transferase domain-containing protein	VK055_4823 disulfide bond reductase
N0.HOG0002066	OG0001901	-	b2303 _folX_ dihydroneopterin triphosphate 2'-epimerase	ECL_03652 D-erythro-7_8-dihydroneopterin triphosphate 2'-epimerase	VK055_4822 _folX_ dihydroneopterin triphosphate 2'-epimerase
N0.HOG0002067	OG0001902	-	b2304 _yfcH_ epimerase family protein YfcH	ECL_03653 hypothetical protein	VK055_4820 NAD dependent epimerase/dehydratase family protein
N0.HOG0002068	OG0001903	-	b2306 _hisP_ lysine/arginine/ornithine ABC transporter/histidine ABC transporter_ ATP binding subunit	ECL_03655 histidine/lysine/arginine/ornithine transport system ATP-binding protein	VK055_4818 hisP
N0.HOG0002069	OG0001904	-	b2307 _hisM_ lysine/arginine/ornithine ABC transporter/histidine ABC transporter_ membrane subunit HisM	ECL_03656 histidine/lysine/arginine/ornithine transport system permease protein	VK055_4817 amino ABC transporter_ permease_ 3-TM region_ His/Glu/Gln/Arg/opine family domain protein
N0.HOG0002070	OG0001905	-	b2308 _hisQ_ lysine/arginine/ornithine ABC transporter/histidine ABC transporter_ membrane subunit HisQ	ECL_03657 histidine/lysine/arginine/ornithine transport system permease protein	VK055_4816 amino ABC transporter_ permease_ 3-TM region_ His/Glu/Gln/Arg/opine family domain protein
N0.HOG0002071	OG0001906	-	b2312 _purF_ amidophosphoribosyltransferase	ECL_03661 amidophosphoribosyltransferase	VK055_4811 _purF_ amidophosphoribosyltransferase
N0.HOG0002072	OG0001907	-	b2313 _cvpA_ colicin V production protein	ECL_03662 colicin V production protein	VK055_4810 colicin V production family protein
N0.HOG0002073	OG0001908	-	b2314 _dedD_ cell division protein DedD	ECL_03663 DedD protein	VK055_4809 cell division protein DedD
N0.HOG0002074	OG0001909	-	b2315 _folC_ bifunctional folylpolyglutamate synthetase/dihydrofolate synthetase	ECL_03664 bifunctional folylpolyglutamate synthase/dihydrofolate synthase	VK055_4808 _folC_ folyl-polyglutamate synthetase
N0.HOG0002075	OG0001910	-	b2316 _accD_ acetyl-CoA carboxyltransferase subunit beta	ECL_03665 acetyl-CoA carboxylase_ carboxyl transferase_ beta subunit	VK055_4807 _accD_ acetyl-CoA carboxylase_ carboxyl transferase_ beta subunit
N0.HOG0002076	OG0001911	-	b2317 _dedA_ DedA family protein DedA	ECL_03666 hypothetical protein	VK055_4806 hypothetical protein
N0.HOG0002077	OG0001912	-	b2318 _truA_ tRNA pseudouridine_38-40_ synthase	ECL_03667 tRNA pseudouridine synthase A	VK055_4805 _truA_ tRNA pseudouridine_38-40_ synthase
N0.HOG0002078	OG0001913	-	b2319 _usg_ putative semialdehyde dehydrogenase Usg	ECL_03668 aspartate-semialdehyde dehydrogenase	VK055_4804 putative semialdehyde dehydrogenase
N0.HOG0002079	OG0001914	-	b2320 _pdxB_ erythronate-4-phosphate dehydrogenase	ECL_03669 erythronate-4-phosphate dehydrogenase	VK055_4803 D-isomer specific 2-hydroxyacid dehydrogenase_ catalytic domain protein
N0.HOG0002080	OG0001915	-	b2321 _flk_ putative flagella assembly protein	ECL_03670 flagella biosynthesis regulator	VK055_4802 putative flagellar assembly protein
N0.HOG0002081	OG0001916	-	b2322 _yfcJ_ putative transporter YfcJ	ECL_03671 hypothetical protein	VK055_4801 major Facilitator Superfamily protein
N0.HOG0002082	OG0001917	-	b2323 _fabB_ 3-oxoacyl-[acyl carrier protein] synthase 1	ECL_03672 3-oxoacyl-_acyl carrier protein_ synthase I	VK055_4800 _fabB_ fabB
N0.HOG0002083	OG0001918	-	b2324 _mnmC_ fused tRNA 5-aminomethyl-2-thiouridylate methyltransferase and tRNA 5-aminomethyl-2-thiouridylate synthase	ECL_03673 hypothetical protein	VK055_4799 _mnmC_ tRNA U-34 5-methylaminomethyl-2-thiouridine biosynthesis protein MnmC_ C-terminal domain
N0.HOG0002084	OG0001919	-	b2325 _yfcL_ PF08891 family protein YfcL	ECL_03674 hypothetical protein	VK055_4798 yfcL family protein
N0.HOG0002085	OG0001920	-	b2326 _epmC_ EF-P-Lys34 hydroxylase	ECL_03675 hypothetical protein	VK055_4797 hypothetical protein
N0.HOG0002086	OG0001921	-	b2327 _yfcA_ putative transporter YfcA	ECL_03676 hypothetical protein	VK055_4796 sulfite exporter TauE/SafE family protein
N0.HOG0002087	OG0001922	-	b2328 _mepA_ peptidoglycan DD-endopeptidase/peptidoglycan LD-endopeptidase	ECL_03677 penicillin-insensitive murein endopeptidase	VK055_4795 _mepA_ mepA
N0.HOG0002088	OG0001923	-	b2329 _aroC_ chorismate synthase	ECL_03678 chorismate synthase	VK055_4794 _aroC_ chorismate synthase
N0.HOG0002089	OG0001924	-	b2330 _prmB_ ribosomal protein L3 N_5_-glutamine methyltransferase	ECL_03679 N5-glutamine S-adenosyl-L-methionine-dependent methyltransferase	VK055_4793 _prmB_ N5-glutamine methyltransferase_ ribosomal protein L3-specific
N0.HOG0002090	OG0001925	-	b2331 _smrB_ putative endonuclease SmrB	ECL_03680 hypothetical protein	VK055_4792 smr domain protein
N0.HOG0002091	OG0001926	-	b2335 _yfcR_ putative fimbrial protein YfcR, b2334 _yfcQ_ putative fimbrial protein YfcQ	ECL_01109 _mrfF_ MrfE protein	
N0.HOG0002092	OG0001927	-	b2336 _yfcS_ putative fimbrial chaperone YfcS	ECL_01107 _mrfD_ pili chaperone protein, ECL_00372 Chaperone protein PmfD	
N0.HOG0002093	OG0001928	-	b2340 _sixA_ phosphohistidine phosphatase SixA	ECL_03681 phosphohistidine phosphatase	VK055_4791 _sixA_ phosphohistidine phosphatase SixA
N0.HOG0002094	OG0001929	-	b2341 _fadJ_ 3-hydroxyacyl-CoA dehydrogenase FadJ	ECL_03682 multifunctional fatty acid oxidation complex subunit alpha	VK055_4790 _fadJ_ fatty oxidation complex_ alpha subunit FadJ
N0.HOG0002095	OG0001930	-	b2342 _fadI_ 3-ketoacyl-CoA thiolase FadI	ECL_03683 3-ketoacyl-CoA thiolase	VK055_4789 _fadI_ acetyl-CoA C-acyltransferase FadI
N0.HOG0002096	OG0001931	-	b2343 _yfcZ_ DUF406 domain-containing protein YfcZ	ECL_03684 hypothetical protein	VK055_4788 hypothetical protein
N0.HOG0002097	OG0001932	-	b2344 _fadL_ long-chain fatty acid outer membrane channel/bacteriophage T2 receptor	ECL_03685 OMPP1/FadL/TodX family outer membrane transporter	VK055_4787 47 kDa outer membrane protein
N0.HOG0002098	OG0001933	-	b2346 _mlaA_ intermembrane phospholipid transport system - outer membrane lipoprotein MlaA	ECL_03686 VacJ family lipoprotein	VK055_4786 mlaA
N0.HOG0002099	OG0001934	-	b2347 _yfdC_ inner membrane protein YfdC	ECL_03687 putative transporter	VK055_4785 formate/nitrite transporter family protein
N0.HOG0002100	OG0001935	-	b2358 _yfdO_ protein YdfO	ECL_01665 phage O protein	VK055_5158 bacterial regulatory_ gntR family protein
N0.HOG0002101	OG0001936	-	b2366 _dsdA_ D-serine ammonia-lyase	ECL_00023 D-serine deaminase	VK055_3384 _dsdA_ D-serine ammonia-lyase
N0.HOG0002102	OG0001937	-	b2380 _pyrS_ sensor histidine kinase PyrS	ECL_03724 putative sensory kinase in two-component system	VK055_4776 histidine kinase-_ DNA gyrase B-_ and HSP90-likeATPase family protein
N0.HOG0002103	OG0001938	-	b2381 _pyrR_ DNA-binding transcriptional activator PyrR	ECL_03725 putative response regulator in two-component system	VK055_4775 _mrkE_ protein mrkE
N0.HOG0002104	OG0001939	-	b3947 _ptsA_ putative PTS multiphosphoryl transfer protein PtsA, b2383 _fryA_ putative PTS multiphosphoryl transfer protein FryA		VK055_1467 fused predicted PTS system enzymes_ Hpr component_ enzyme I component_ enzyme IIA component
N0.HOG0002105	OG0001940	-	b3898 _frvX_ peptidase M42 family protein FrvX, b4305 _sgcX_ putative endoglucanase with Zn-dependent exopeptidase domain, b2384 _ypdE_ aminopeptidase YpdE		
N0.HOG0002106	OG0001941	-	b2388 _glk_ glucokinase	ECL_03726 glucokinase	VK055_4774 _glk_ glucokinase
N0.HOG0002107	OG0001942	-	b2389 _yfeO_ putative transport protein YfeO	ECL_03727 hypothetical protein	VK055_4772 voltage gated chloride channel family protein
N0.HOG0002108	OG0001943	-	b2390 _ypeC_ DUF2502 domain-containing protein YpeC	ECL_03730 hypothetical protein	VK055_4770 hypothetical protein
N0.HOG0002109	OG0001944	-	b2392 _mntH_ Mn_2_+__/Fe_2_+___ H_+_ symporter MntH	ECL_03731 manganese transport protein MntH	VK055_4769 _mntH_ mntH manganese ion transporter
N0.HOG0002110	OG0001945	-	b2395 _pdeA_ putative c-di-GMP phosphodiesterase PdeA	ECL_03733 diguanylate cyclase/phosphodiesterase	VK055_4767 EAL domain protein
N0.HOG0002111	OG0001946	-	b2400 _gltX_ glutamate--tRNA ligase	ECL_03736 glutamyl-tRNA synthetase	VK055_4762 _gltX_ glutamate--tRNA ligase
N0.HOG0002112	OG0001947	-	b2409 _yfeR_ putative DNA-binding transcriptional regulator YfeR	ECL_03738 LysR family transcriptional regulator	VK055_4757 bacterial regulatory helix-turn-helix_ lysR family protein
N0.HOG0002113	OG0001948	-	b2410 _yfeH_ putative solute_Na_+_ symporter	ECL_03739 bile acid_sodium symporter	VK055_4755 sodium Bile acid symporter family protein
N0.HOG0002114	OG0001949	-	b4546 _ypeB_ PF12843 family protein YpeB	ECL_03740 hypothetical protein	VK055_4756 hypothetical protein
N0.HOG0002115	OG0001950	-	b2411 _ligA_ DNA ligase	ECL_03741 NAD-dependent DNA ligase LigA	VK055_4754 _ligA_ DNA ligase_ NAD-dependent
N0.HOG0002116	OG0001951	-	b2412 _zipA_ cell division protein ZipA	ECL_03742 cell division protein ZipA	VK055_4753 _zipA_ cell division protein ZipA
N0.HOG0002117	OG0001952	-	b2413 _cysZ_ sulfate_H_+_ symporter	ECL_03743 cysZ protein	VK055_4751 etoposide-induced 2.4 family protein
N0.HOG0002118	OG0001953	-	b2414 _cysK_ cysteine synthase A	ECL_03744 cysteine synthase A	VK055_4750 _cysK_ cysteine synthase A
N0.HOG0002119	OG0001954	-	b2415 _ptsH_ phosphocarrier protein HPr	ECL_03745 phosphocarrier protein ptsH	VK055_4749 _ptsH_ HPr
N0.HOG0002120	OG0001955	-	b2416 _ptsI_ PTS enzyme I	ECL_03746 phosphoenolpyruvate-protein phosphotransferase	VK055_4748 PTS enzyme I
N0.HOG0002121	OG0001956	-	b2417 _crr_ Enzyme IIA_Glc_	ECL_03747 glucose-specific PTS system component	VK055_4747 _crr_ glucose-specific phosphotransferase enzyme IIA component
N0.HOG0002122	OG0001957	-	b2418 _pdxK_ pyridoxine/pyridoxal/pyridoxamine kinase	ECL_03748 pyridoxal kinase	VK055_4745 pyridoxal kinase
N0.HOG0002123	OG0001958	-	b2421 _cysM_ cysteine synthase B	ECL_03749 cysteine synthase B _O-acetylserine sulfhydrolase B_	VK055_4743 _cysM_ cysteine synthase B
N0.HOG0002124	OG0001959	-	b2422 _cysA_ sulfate/thiosulfate ABC transporter ATP binding subunit	ECL_03750 _cysA_ sulfate transport system ATP-binding protein	VK055_4741 _cysA_ sulfate ABC transporter_ ATP-binding family protein
N0.HOG0002125	OG0001960	-	b2423 _cysW_ sulfate/thiosulfate ABC transporter inner membrane subunit CysW	ECL_03751 _cysW_ sulfate transport system permease protein	VK055_4740 _cysW_ sulfate ABC transporter_ permease protein CysW
N0.HOG0002126	OG0001961	-	b2425 _cysP_ thiosulfate/sulfate ABC transporter periplasmic binding protein CysP	ECL_03753 _cysP_ sulfate transport system substrate-binding protein	VK055_4738 cysP
N0.HOG0002127	OG0001962	-	b2429 _murP_ N-acetylmuramic acid-specific PTS enzyme IICB component/anhydro-N-acetylmuramic acid transporter	ECL_03898 PTS system_ sucrose-specific IIBC component	VK055_3422 phosphotransferase system_ EIIC family protein
N0.HOG0002128	OG0001963	-	b2431 _yfeX_ porphyrinogen peroxidase	ECL_03754 putative iron-dependent peroxidase	VK055_4737 _yfeX_ putative porphyrinogen oxidase
N0.HOG0002129	OG0001964	-	b2432 _yfeY_ DUF1131 domain-containing lipoprotein YfeY	ECL_03755 hypothetical protein	VK055_4736 hypothetical protein
N0.HOG0002130	OG0001965	-	b2433 _yfeZ_ putative inner membrane protein	ECL_03756 hypothetical protein	VK055_4735 hypothetical protein
N0.HOG0002131	OG0001966	-	b2434 _ypeA_ putative acetyltransferase YpeA	ECL_03757 putative acetyltransferase	VK055_4734 acetyltransferase family protein
N0.HOG0002132	OG0001967	-	b2435 _amiA_ N-acetylmuramoyl-L-alanine amidase A	ECL_03758 N-acetylmuramoyl-l-alanine amidase I	VK055_4733 N-acetylmuramoyl-L-alanine amidase 1
N0.HOG0002133	OG0001968	-	b2436 _hemF_ coproporphyrinogen III oxidase	ECL_03759 coproporphyrinogen III oxidase	VK055_4732 coproporphyrinogen III oxidase family protein
N0.HOG0002134	OG0001969	-	b2439 _eutL_ putative structural protein_ ethanolamine utilization microcompartment		VK055_4321 BMC domain protein, VK055_4729 putative carboxysome structural protein with predicted role in ethanolamine utilization
N0.HOG0002135	OG0001970	-	b2440 _eutC_ ethanolamine ammonia-lyase subunit beta		VK055_2250 ethanolamine ammonia-lyase light chain family protein, VK055_4728 ethanolamine ammonia-lyase light chain family protein
N0.HOG0002136	OG0001971	-	b2441 _eutB_ ethanolamine ammonia-lyase subunit alpha		VK055_2249 ethanolamine ammonia lyase large subunit family protein, VK055_4727 ethanolamine ammonia-lyase_ putative regulatory subunit
N0.HOG0002137	OG0001972	-	b2453 _eutG_ putative alcohol dehydrogenase EutG		VK055_4724 putative alcohol dehydrogenase in ethanolamine utilization, VK055_3602 iron-containing alcohol dehydrogenase family protein
N0.HOG0002138	OG0001973	-	b2455 _eutE_ acetaldehyde dehydrogenase _acetylating_ EutE		VK055_4309 aldehyde dehydrogenase family protein, VK055_4722 aldehyde dehydrogenase family protein
N0.HOG0002139	OG0001974	-	b2456 _eutN_ putative ethanolamine catabolic microcompartment shell protein EutN		VK055_4721 _ccmL2_ carbon dioxide concentrating mechanism protein CcmL, VK055_4311 _ccmL_ carbon dioxide concentrating mechanism protein CcmL
N0.HOG0002140	OG0001975	-	b2462 _eutS_ putative ethanolamine catabolic microcompartment shell protein EutS		VK055_4715 BMC domain protein, VK055_4305 BMC domain protein
N0.HOG0002141	OG0001976	-	b2463 _maeB_ malate dehydrogenase _oxaloacetate-decarboxylating_ _NADP_+__	ECL_03760 malic enzyme	VK055_4714 maeB
N0.HOG0002142	OG0001977	-	b2466 _ypfG_ DUF1176 domain-containing protein YpfG	ECL_03763 hypothetical protein	VK055_4712 hypothetical protein
N0.HOG0002143	OG0001978	-	b2471 _yffB_ putative reductase YffB	ECL_03768 hypothetical protein	VK055_4707 transcriptional regulator_ Spx/MgsR family protein
N0.HOG0002144	OG0001979	-	b2472 _dapE_ succinyl-diaminopimelate desuccinylase	ECL_03769 succinyl-diaminopimelate desuccinylase	VK055_4706 _dapE_ succinyl-diaminopimelate desuccinylase
N0.HOG0002145	OG0001980	-	b4547 _ypfN_ PF13980 family protein YpfN	ECL_03770 hypothetical protein	VK055_4705 hypothetical protein
N0.HOG0002146	OG0001981	-	b2473 _ypfH_ esterase YpfH	ECL_03771 putative esterase	VK055_4704 phospholipase/Carboxylesterase family protein
N0.HOG0002147	OG0001982	-	b2474 _tmcA_ tRNA_Met_ cytidine acetyltransferase	ECL_03772 hypothetical protein	VK055_4703 tRNAMet cytidine acetyltransferase
N0.HOG0002148	OG0001983	-	b2475 _ypfJ_ uncharacterized protein YpfJ	ECL_03773 hypothetical protein	VK055_4702 neutral zinc metallopeptidase family protein
N0.HOG0002149	OG0001984	-	b2476 _purC_ phosphoribosylaminoimidazole-succinocarboxamide synthase	ECL_03774 phosphoribosylaminoimidazole-succinocarboxamide synthase	VK055_4701 _purC_ phosphoribosylaminoimidazolesuccinocarboxamide synthase
N0.HOG0002150	OG0001985	-	b2477 _bamC_ outer membrane protein assembly factor BamC	ECL_03775 putative lipoprotein	VK055_4700 nlpB/DapX lipofamily protein
N0.HOG0002151	OG0001986	-	b2478 _dapA_ 4-hydroxy-tetrahydrodipicolinate synthase	ECL_03776 dihydrodipicolinate synthase	VK055_4699 _dapA_ dihydrodipicolinate synthase
N0.HOG0002152	OG0001987	-	b2479 _gcvR_ putative transcriptional regulator GcvR	ECL_03777 glycine cleavage system transcriptional repressor	VK055_4698 gcvR GcvR predicted transcriptional regulator
N0.HOG0002153	OG0001988	-	b2480 _bcp_ thiol peroxidase	ECL_03778 thioredoxin-dependent thiol peroxidase	VK055_4697 _bcp_ thiol peroxidase
N0.HOG0002154	OG0001989	-	b2493 _yfgO_ putative transporter YfgO	ECL_03779 hypothetical protein	VK055_4696 hypothetical protein
N0.HOG0002155	OG0001990	-	b2494 _bepA_ beta-barrel assembly-enhancing protease	ECL_03780 putative peptidase M48 family protein	VK055_4694 peptidase M48 family protein
N0.HOG0002156	OG0001991	-	b2495 _yfgD_ putative oxidoreductase YfgD	ECL_03781 putative arsenate reductase	VK055_4693 _arsC2_ arsenate reductase
N0.HOG0002157	OG0001992	-	b2496 _hda_ inibitor of reinitiation of DNA replication	ECL_03786 ATPase regulatory factor Hda	VK055_4692 _hda_ dnaA regulatory inactivator Hda
N0.HOG0002158	OG0001993	-	b2497 _uraA_ uracil_H_+_ symporter UraA	ECL_03787 uracil transporter	VK055_4690 uracil-xanthine permease family protein
N0.HOG0002159	OG0001994	-	b2498 _upp_ uracil phosphoribosyltransferase	ECL_03788 uracil phosphoribosyltransferase	VK055_4689 _upp_ uracil phosphoribosyltransferase
N0.HOG0002160	OG0001995	-	b2499 _purM_ phosphoribosylformylglycinamide cyclo-ligase	ECL_03791 phosphoribosylaminoimidazole synthetase	VK055_4686 _purM_ phosphoribosylformylglycinamidine cyclo-ligase
N0.HOG0002161	OG0001996	-	b2500 _purN_ phosphoribosylglycinamide formyltransferase 1	ECL_03792 phosphoribosylglycinamide formyltransferase	VK055_4685 _purN_ phosphoribosylglycinamide formyltransferase
N0.HOG0002162	OG0001997	-	b2501 _ppk_ polyphosphate kinase	ECL_03793 polyphosphate kinase	VK055_4684 _ppk1_ polyphosphate kinase 1
N0.HOG0002163	OG0001998	-	b2502 _ppx_ exopolyphosphatase	ECL_03794 exopolyphosphatase	VK055_4683 _ppx_ ppx
N0.HOG0002164	OG0001999	-	b2503 _pdeF_ cyclic di-GMP phosphodiesterase PdeF	ECL_03795 diguanylate cyclase/phosphodiesterase	VK055_4682 _yfgF_ cyclic di-GMP phosphodiesterase YfgF
N0.HOG0002165	OG0002000	-	b2504 _yfgG_ nickel/cobalt stress response protein YfgG	ECL_03796 hypothetical protein	VK055_4681 hypothetical protein
N0.HOG0002166	OG0002001	-	b2508 _guaB_ inosine 5'-monophosphate dehydrogenase	ECL_03845 inosine 5'-monophosphate dehydrogenase	VK055_4665 _guaB_ inosine-5'-monophosphate dehydrogenase
N0.HOG0002167	OG0002002	-	b2509 _xseA_ exodeoxyribonuclease VII subunit XseA	ECL_03846 exodeoxyribonuclease VII large subunit	VK055_4663 _xseA_ exodeoxyribonuclease VII_ large subunit
N0.HOG0002168	OG0002003	-	b2510 _yfgJ_ zinc ribbon domain-containing protein YfgJ	ECL_03850 conserved hypothetical protein	VK055_4664 hypothetical protein
N0.HOG0002169	OG0002004	-	b2511 _der_ 50S ribosomal subunit stability factor	ECL_03853 GTP-binding protein EngA	VK055_4659 _engA_ ribosome-associated GTPase EngA
N0.HOG0002170	OG0002005	-	b2512 _bamB_ outer membrane protein assembly factor BamB	ECL_03854 outer membrane protein assembly complex subunit YfgL	VK055_4658 _yfgL_ outer membrane assembly lipoprotein YfgL
N0.HOG0002171	OG0002006	-	b2513 _yfgM_ ancillary SecYEG translocon subunit	ECL_03855 hypothetical protein	VK055_4657 hypothetical protein
N0.HOG0002172	OG0002007	-	b2514 _hisS_ histidine--tRNA ligase	ECL_03856 histidyl-tRNA synthetase	VK055_4656 _hisS_ histidine--tRNA ligase
N0.HOG0002173	OG0002008	-	b2515 _ispG_ _E_-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase _flavodoxin_	ECL_03857 4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase	VK055_4655 _ispG_ 4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase
N0.HOG0002174	OG0002009	-	b2516 _rodZ_ cytoskeleton protein RodZ	ECL_03858 hypothetical protein	VK055_4654 putative membrane protein
N0.HOG0002175	OG0002010	-	b2517 _rlmN_ 23S rRNA m_2_A2503 methyltransferase/tRNA m_2_A37 methyltransferase	ECL_03859 23S rRNA methyltransferase	VK055_4653 _rlmN_ 23S rRNA m2A2503 methyltransferase
N0.HOG0002176	OG0002011	-	b2518 _ndk_ nucleoside diphosphate kinase	ECL_03860 nucleoside diphosphate kinase	VK055_4652 _ndk_ ndk
N0.HOG0002177	OG0002012	-	b2519 _pbpC_ peptidoglycan glycosyltransferase PbpC	ECL_03865 penicillin-binding protein 1C	VK055_4651 _pbpC_ penicillin-binding protein 1C
